[2023-12-02 20:29:54,463 | finetune_omp.py | line 137] - INFO: loss: 3.164271820675243
[2023-12-02 20:30:00,072 | finetune_omp.py | line 137] - INFO: loss: 2.536390781402588
[2023-12-02 20:30:03,933 | finetune_omp.py | line 137] - INFO: loss: 2.2193776715186333
[2023-12-02 20:30:09,081 | finetune_omp.py | line 137] - INFO: loss: 2.017930945245231
[2023-12-02 20:30:13,614 | finetune_omp.py | line 137] - INFO: loss: 1.8924905050034617
[2023-12-02 20:30:17,358 | finetune_omp.py | line 137] - INFO: loss: 1.799446566183059
[2023-12-02 20:30:23,163 | finetune_omp.py | line 137] - INFO: loss: 1.7320672936842476
[2023-12-02 20:30:29,697 | finetune_omp.py | line 137] - INFO: loss: 1.6766954240975556
[2023-12-02 20:30:35,951 | finetune_omp.py | line 137] - INFO: loss: 1.6337789663901696
[2023-12-02 20:30:41,383 | finetune_omp.py | line 137] - INFO: loss: 1.6017655948601146
[2023-12-02 20:30:47,466 | finetune_omp.py | line 137] - INFO: loss: 1.5662043089265223
[2023-12-02 20:30:53,106 | finetune_omp.py | line 137] - INFO: loss: 1.5436112397958424
[2023-12-02 20:31:00,366 | finetune_omp.py | line 137] - INFO: loss: 1.5319167939761213
[2023-12-02 20:31:04,089 | finetune_omp.py | line 137] - INFO: loss: 1.5145672086282824
[2023-12-02 20:31:11,787 | finetune_omp.py | line 137] - INFO: loss: 1.4933695236578683
[2023-12-02 20:31:15,328 | finetune_omp.py | line 137] - INFO: loss: 1.4803349638577574
[2023-12-02 20:31:20,305 | finetune_omp.py | line 137] - INFO: loss: 1.4682825221652873
[2023-12-02 20:31:26,049 | finetune_omp.py | line 137] - INFO: loss: 1.446609277422257
[2023-12-02 20:31:29,945 | finetune_omp.py | line 137] - INFO: loss: 1.4354421621217777
[2023-12-02 20:31:37,533 | finetune_omp.py | line 137] - INFO: loss: 1.4232037808764633
[2023-12-02 20:31:41,298 | finetune_omp.py | line 137] - INFO: loss: 1.4146966665841958
[2023-12-02 20:31:46,377 | finetune_omp.py | line 137] - INFO: loss: 1.4086678181838126
[2023-12-02 20:31:52,722 | finetune_omp.py | line 137] - INFO: loss: 1.3910063007177214
[2023-12-02 20:32:00,909 | finetune_omp.py | line 137] - INFO: loss: 1.3766599525059902
[2023-12-02 20:32:08,382 | finetune_omp.py | line 137] - INFO: loss: 1.3642612227880622
[2023-12-02 20:32:12,549 | finetune_omp.py | line 137] - INFO: loss: 1.3491540375340487
[2023-12-02 20:32:17,592 | finetune_omp.py | line 137] - INFO: loss: 1.3400765971943902
[2023-12-02 20:32:26,045 | finetune_omp.py | line 137] - INFO: loss: 1.3307475078572581
[2023-12-02 20:32:30,981 | finetune_omp.py | line 137] - INFO: loss: 1.3201101924135923
[2023-12-02 20:32:33,716 | finetune_omp.py | line 137] - INFO: loss: 1.3149066894157384
[2023-12-02 20:32:39,263 | finetune_omp.py | line 137] - INFO: loss: 1.3124295390687188
[2023-12-02 20:32:48,012 | finetune_omp.py | line 137] - INFO: loss: 1.3033252713093506
[2023-12-02 20:32:50,657 | finetune_omp.py | line 137] - INFO: loss: 1.3044291489794175
[2023-12-02 20:32:53,727 | finetune_omp.py | line 137] - INFO: loss: 1.3033488284457813
[2023-12-02 20:32:58,200 | finetune_omp.py | line 137] - INFO: loss: 1.297839229942387
[2023-12-02 20:33:02,652 | finetune_omp.py | line 137] - INFO: loss: 1.2947886898246828
[2023-12-02 20:33:10,421 | finetune_omp.py | line 137] - INFO: loss: 1.2874462665573285
[2023-12-02 20:33:14,263 | finetune_omp.py | line 137] - INFO: loss: 1.2862007378593205
[2023-12-02 20:33:19,675 | finetune_omp.py | line 137] - INFO: loss: 1.2825191627682933
[2023-12-02 20:33:26,762 | finetune_omp.py | line 137] - INFO: loss: 1.2783778138886068
[2023-12-02 20:33:32,859 | finetune_omp.py | line 137] - INFO: loss: 1.2739852292694314
[2023-12-02 20:33:39,923 | finetune_omp.py | line 137] - INFO: loss: 1.2704416000927996
[2023-12-02 20:33:45,609 | finetune_omp.py | line 137] - INFO: loss: 1.2654211966454845
[2023-12-02 20:33:50,527 | finetune_omp.py | line 137] - INFO: loss: 1.261963956480394
[2023-12-02 20:33:53,926 | finetune_omp.py | line 137] - INFO: loss: 1.258144806731831
[2023-12-02 20:33:57,072 | finetune_omp.py | line 137] - INFO: loss: 1.2551499671118895
[2023-12-02 20:34:01,653 | finetune_omp.py | line 137] - INFO: loss: 1.25116627674447
[2023-12-02 20:34:06,090 | finetune_omp.py | line 137] - INFO: loss: 1.2496096460834114
[2023-12-02 20:34:11,489 | finetune_omp.py | line 137] - INFO: loss: 1.247771714709684
[2023-12-02 20:34:19,137 | finetune_omp.py | line 137] - INFO: loss: 1.2441403088931313
[2023-12-02 20:34:21,546 | finetune_omp.py | line 137] - INFO: loss: 1.246014847330851
[2023-12-02 20:34:27,026 | finetune_omp.py | line 137] - INFO: loss: 1.2440854677083166
[2023-12-02 20:34:33,667 | finetune_omp.py | line 137] - INFO: loss: 1.2413393613757835
[2023-12-02 20:34:38,907 | finetune_omp.py | line 137] - INFO: loss: 1.239508015501301
[2023-12-02 20:34:43,894 | finetune_omp.py | line 137] - INFO: loss: 1.2354006533614088
[2023-12-02 20:34:50,550 | finetune_omp.py | line 137] - INFO: loss: 1.2326369979377312
[2023-12-02 20:34:54,691 | finetune_omp.py | line 137] - INFO: loss: 1.22954912277529
[2023-12-02 20:34:58,304 | finetune_omp.py | line 137] - INFO: loss: 1.2260768891611937
[2023-12-02 20:35:02,753 | finetune_omp.py | line 137] - INFO: loss: 1.2243195231594208
[2023-12-02 20:35:06,054 | finetune_omp.py | line 137] - INFO: loss: 1.2224851068165061
[2023-12-02 20:35:10,859 | finetune_omp.py | line 137] - INFO: loss: 1.220595909023441
[2023-12-02 20:35:17,286 | finetune_omp.py | line 137] - INFO: loss: 1.2170377761461502
[2023-12-02 20:35:21,174 | finetune_omp.py | line 137] - INFO: loss: 1.2163861287188038
[2023-12-02 20:35:26,537 | finetune_omp.py | line 137] - INFO: loss: 1.2130567929860023
[2023-12-02 20:35:33,339 | finetune_omp.py | line 137] - INFO: loss: 1.2100512557498504
[2023-12-02 20:35:39,197 | finetune_omp.py | line 137] - INFO: loss: 1.2066263028965776
[2023-12-02 20:35:42,930 | finetune_omp.py | line 137] - INFO: loss: 1.2052645990638904
[2023-12-02 20:35:48,919 | finetune_omp.py | line 137] - INFO: loss: 1.2049380346541887
[2023-12-02 20:35:54,892 | finetune_omp.py | line 137] - INFO: loss: 1.2043560955527894
[2023-12-02 20:35:59,716 | finetune_omp.py | line 137] - INFO: loss: 1.2015838880681788
[2023-12-02 20:36:04,213 | finetune_omp.py | line 137] - INFO: loss: 1.2002859256438565
[2023-12-02 20:36:10,372 | finetune_omp.py | line 137] - INFO: loss: 1.1984449829208703
[2023-12-02 20:36:14,484 | finetune_omp.py | line 137] - INFO: loss: 1.1964046229415977
[2023-12-02 20:36:19,591 | finetune_omp.py | line 137] - INFO: loss: 1.194061474359309
[2023-12-02 20:36:23,075 | finetune_omp.py | line 137] - INFO: loss: 1.1924950319346035
[2023-12-02 20:36:27,145 | finetune_omp.py | line 137] - INFO: loss: 1.1924395977902507
[2023-12-02 20:36:32,246 | finetune_omp.py | line 137] - INFO: loss: 1.1911038188155059
[2023-12-02 20:36:35,730 | finetune_omp.py | line 137] - INFO: loss: 1.1920819731283738
[2023-12-02 20:36:41,468 | finetune_omp.py | line 137] - INFO: loss: 1.190267068396326
[2023-12-02 20:36:46,304 | finetune_omp.py | line 137] - INFO: loss: 1.1884177891205014
[2023-12-02 20:36:52,690 | finetune_omp.py | line 137] - INFO: loss: 1.185953320175152
[2023-12-02 20:36:56,281 | finetune_omp.py | line 137] - INFO: loss: 1.1845393753661597
[2023-12-02 20:37:01,309 | finetune_omp.py | line 137] - INFO: loss: 1.1840528889540156
[2023-12-02 20:37:08,632 | finetune_omp.py | line 137] - INFO: loss: 1.1822805892981758
[2023-12-02 20:37:14,457 | finetune_omp.py | line 137] - INFO: loss: 1.18040761509177
[2023-12-02 20:37:18,318 | finetune_omp.py | line 137] - INFO: loss: 1.1804011479348948
[2023-12-02 20:37:25,920 | finetune_omp.py | line 137] - INFO: loss: 1.1777299920398523
[2023-12-02 20:37:30,031 | finetune_omp.py | line 137] - INFO: loss: 1.1766872566349795
[2023-12-02 20:37:36,108 | finetune_omp.py | line 137] - INFO: loss: 1.1748002101275254
[2023-12-02 20:37:39,751 | finetune_omp.py | line 137] - INFO: loss: 1.1729489119018488
[2023-12-02 20:37:45,040 | finetune_omp.py | line 137] - INFO: loss: 1.1709012740856992
[2023-12-02 20:37:50,224 | finetune_omp.py | line 137] - INFO: loss: 1.1709037987792401
[2023-12-02 20:37:53,342 | finetune_omp.py | line 137] - INFO: loss: 1.1703597107135904
[2023-12-02 20:37:55,531 | finetune_omp.py | line 137] - INFO: loss: 1.1701163175445561
[2023-12-02 20:37:59,607 | finetune_omp.py | line 137] - INFO: loss: 1.167824449881394
[2023-12-02 20:38:05,911 | finetune_omp.py | line 137] - INFO: loss: 1.1662719525420082
[2023-12-02 20:38:11,625 | finetune_omp.py | line 137] - INFO: loss: 1.1644776797135017
[2023-12-02 20:38:15,969 | finetune_omp.py | line 137] - INFO: loss: 1.1626974436911117
[2023-12-02 20:38:18,919 | finetune_omp.py | line 137] - INFO: loss: 1.1639721480496115
[2023-12-02 20:38:22,728 | finetune_omp.py | line 137] - INFO: loss: 1.164002469399354
[2023-12-02 20:38:29,700 | finetune_omp.py | line 137] - INFO: loss: 1.1619925208013915
[2023-12-02 20:38:32,916 | finetune_omp.py | line 137] - INFO: loss: 1.1606334028409815
[2023-12-02 20:38:38,412 | finetune_omp.py | line 137] - INFO: loss: 1.1594176621661385
[2023-12-02 20:38:42,988 | finetune_omp.py | line 137] - INFO: loss: 1.1593589046674777
[2023-12-02 20:38:50,951 | finetune_omp.py | line 137] - INFO: loss: 1.1588774986713983
[2023-12-02 20:38:54,566 | finetune_omp.py | line 137] - INFO: loss: 1.1573955187754852
[2023-12-02 20:39:00,817 | finetune_omp.py | line 137] - INFO: loss: 1.1573585885412552
[2023-12-02 20:39:05,653 | finetune_omp.py | line 137] - INFO: loss: 1.156333881351928
[2023-12-02 20:39:09,160 | finetune_omp.py | line 137] - INFO: loss: 1.1556909674630047
[2023-12-02 20:39:13,474 | finetune_omp.py | line 137] - INFO: loss: 1.1555427239495553
[2023-12-02 20:39:16,359 | finetune_omp.py | line 137] - INFO: loss: 1.1556681020907944
[2023-12-02 20:39:20,589 | finetune_omp.py | line 137] - INFO: loss: 1.155336206162433
[2023-12-02 20:39:25,423 | finetune_omp.py | line 137] - INFO: loss: 1.1534258074775192
[2023-12-02 20:39:30,963 | finetune_omp.py | line 137] - INFO: loss: 1.153594455653173
[2023-12-02 20:39:35,422 | finetune_omp.py | line 137] - INFO: loss: 1.1527764349010692
[2023-12-02 20:39:40,557 | finetune_omp.py | line 137] - INFO: loss: 1.1515731285554802
[2023-12-02 20:39:44,182 | finetune_omp.py | line 137] - INFO: loss: 1.1506503226663392
[2023-12-02 20:39:49,153 | finetune_omp.py | line 137] - INFO: loss: 1.1494719704311849
[2023-12-02 20:39:54,557 | finetune_omp.py | line 137] - INFO: loss: 1.1480857710143682
[2023-12-02 20:39:58,236 | finetune_omp.py | line 137] - INFO: loss: 1.147056619566148
[2023-12-02 20:40:03,046 | finetune_omp.py | line 137] - INFO: loss: 1.1465054434208117
[2023-12-02 20:40:06,168 | finetune_omp.py | line 137] - INFO: loss: 1.1463695753069807
[2023-12-02 20:40:11,073 | finetune_omp.py | line 137] - INFO: loss: 1.1456766754848797
[2023-12-02 20:40:17,150 | finetune_omp.py | line 137] - INFO: loss: 1.1444719676573751
[2023-12-02 20:40:21,614 | finetune_omp.py | line 137] - INFO: loss: 1.14465884632058
[2023-12-02 20:40:26,776 | finetune_omp.py | line 137] - INFO: loss: 1.1438564094024268
[2023-12-02 20:40:31,870 | finetune_omp.py | line 137] - INFO: loss: 1.1433869710266824
[2023-12-02 20:40:38,634 | finetune_omp.py | line 137] - INFO: loss: 1.1419466646689163
[2023-12-02 20:40:42,704 | finetune_omp.py | line 137] - INFO: loss: 1.1415986755529548
[2023-12-02 20:40:46,869 | finetune_omp.py | line 137] - INFO: loss: 1.1406388484588685
[2023-12-02 20:40:52,507 | finetune_omp.py | line 137] - INFO: loss: 1.1397456734758766
[2023-12-02 20:40:58,544 | finetune_omp.py | line 137] - INFO: loss: 1.1390359466000095
[2023-12-02 20:41:03,896 | finetune_omp.py | line 137] - INFO: loss: 1.1372042179421138
[2023-12-02 20:41:09,599 | finetune_omp.py | line 137] - INFO: loss: 1.1352509970677422
[2023-12-02 20:41:16,482 | finetune_omp.py | line 137] - INFO: loss: 1.1342385530162968
[2023-12-02 20:41:22,101 | finetune_omp.py | line 137] - INFO: loss: 1.1330352060546076
[2023-12-02 20:41:26,776 | finetune_omp.py | line 137] - INFO: loss: 1.1322102918623138
[2023-12-02 20:41:31,753 | finetune_omp.py | line 137] - INFO: loss: 1.1319467551590825
[2023-12-02 20:41:37,901 | finetune_omp.py | line 137] - INFO: loss: 1.1309233769120972
[2023-12-02 20:41:42,956 | finetune_omp.py | line 137] - INFO: loss: 1.1297554972978425
[2023-12-02 20:41:47,172 | finetune_omp.py | line 137] - INFO: loss: 1.1297478376974204
[2023-12-02 20:41:55,094 | finetune_omp.py | line 137] - INFO: loss: 1.1287720201931564
[2023-12-02 20:41:59,673 | finetune_omp.py | line 137] - INFO: loss: 1.1284677434392445
[2023-12-02 20:42:05,921 | finetune_omp.py | line 137] - INFO: loss: 1.12707802156952
[2023-12-02 20:42:11,663 | finetune_omp.py | line 137] - INFO: loss: 1.12608752607642
[2023-12-02 20:42:16,348 | finetune_omp.py | line 137] - INFO: loss: 1.1251294368713542
[2023-12-02 20:42:22,131 | finetune_omp.py | line 137] - INFO: loss: 1.1234017370470035
[2023-12-02 20:42:26,891 | finetune_omp.py | line 137] - INFO: loss: 1.1225742547798607
[2023-12-02 20:42:31,516 | finetune_omp.py | line 137] - INFO: loss: 1.1213231736145748
[2023-12-02 20:42:37,203 | finetune_omp.py | line 137] - INFO: loss: 1.120479914782287
[2023-12-02 20:42:41,770 | finetune_omp.py | line 137] - INFO: loss: 1.1193844021392294
[2023-12-02 20:42:48,484 | finetune_omp.py | line 137] - INFO: loss: 1.1189868164681667
[2023-12-02 20:42:52,266 | finetune_omp.py | line 137] - INFO: loss: 1.1186100758227704
[2023-12-02 20:42:57,906 | finetune_omp.py | line 137] - INFO: loss: 1.117490014710417
[2023-12-02 20:43:03,306 | finetune_omp.py | line 137] - INFO: loss: 1.1165051687962773
[2023-12-02 20:43:08,543 | finetune_omp.py | line 137] - INFO: loss: 1.1155537740493875
[2023-12-02 20:43:12,576 | finetune_omp.py | line 137] - INFO: loss: 1.115613772507157
[2023-12-02 20:43:16,561 | finetune_omp.py | line 137] - INFO: loss: 1.115251911828821
[2023-12-02 20:43:20,409 | finetune_omp.py | line 137] - INFO: loss: 1.1154368490374065
[2023-12-02 20:43:26,366 | finetune_omp.py | line 137] - INFO: loss: 1.11481522540239
[2023-12-02 20:43:30,551 | finetune_omp.py | line 137] - INFO: loss: 1.1135073017992638
[2023-12-02 20:43:34,686 | finetune_omp.py | line 137] - INFO: loss: 1.112913836876159
[2023-12-02 20:43:39,859 | finetune_omp.py | line 137] - INFO: loss: 1.1123486950052508
[2023-12-02 20:43:45,421 | finetune_omp.py | line 137] - INFO: loss: 1.1114340403289202
[2023-12-02 20:43:49,935 | finetune_omp.py | line 137] - INFO: loss: 1.1114700383341436
[2023-12-02 20:43:55,176 | finetune_omp.py | line 137] - INFO: loss: 1.1123755870814211
[2023-12-02 20:44:00,849 | finetune_omp.py | line 137] - INFO: loss: 1.1112504967809935
[2023-12-02 20:44:05,445 | finetune_omp.py | line 137] - INFO: loss: 1.1117185523012152
[2023-12-02 20:44:08,149 | finetune_omp.py | line 137] - INFO: loss: 1.1115661750947985
[2023-12-02 20:44:13,540 | finetune_omp.py | line 137] - INFO: loss: 1.111116768506469
