[2023-12-01 16:36:24,990 | finetune_omp.py | line 87] - INFO: loss: 2.7279910932887685
[2023-12-01 16:36:28,029 | finetune_omp.py | line 87] - INFO: loss: 2.3180662847700573
[2023-12-01 16:36:31,614 | finetune_omp.py | line 87] - INFO: loss: 2.043978146968349
[2023-12-01 16:36:34,639 | finetune_omp.py | line 87] - INFO: loss: 1.8822718611577662
[2023-12-01 16:36:38,666 | finetune_omp.py | line 87] - INFO: loss: 1.8144314534523909
[2023-12-01 16:36:42,010 | finetune_omp.py | line 87] - INFO: loss: 1.7755729780822505
[2023-12-01 16:36:46,269 | finetune_omp.py | line 87] - INFO: loss: 1.7518216086105562
[2023-12-01 16:36:48,764 | finetune_omp.py | line 87] - INFO: loss: 1.7169849519376401
[2023-12-01 16:36:52,116 | finetune_omp.py | line 87] - INFO: loss: 1.7129356114418952
[2023-12-01 16:36:57,234 | finetune_omp.py | line 87] - INFO: loss: 1.6766611066195045
[2023-12-01 16:37:01,011 | finetune_omp.py | line 87] - INFO: loss: 1.6849313158172745
[2023-12-01 16:37:05,916 | finetune_omp.py | line 87] - INFO: loss: 1.655814805306679
[2023-12-01 16:37:09,385 | finetune_omp.py | line 87] - INFO: loss: 1.6609166441982939
[2023-12-01 16:37:13,496 | finetune_omp.py | line 87] - INFO: loss: 1.6281325259107224
[2023-12-01 16:37:18,984 | finetune_omp.py | line 87] - INFO: loss: 1.6153767989171262
[2023-12-01 16:37:24,501 | finetune_omp.py | line 87] - INFO: loss: 1.587365112319496
[2023-12-01 16:37:29,253 | finetune_omp.py | line 87] - INFO: loss: 1.5683770643340216
[2023-12-01 16:37:33,611 | finetune_omp.py | line 87] - INFO: loss: 1.5589161772095697
[2023-12-01 16:37:37,446 | finetune_omp.py | line 87] - INFO: loss: 1.5628244343228366
[2023-12-01 16:37:40,854 | finetune_omp.py | line 87] - INFO: loss: 1.5531200594569914
[2023-12-01 16:37:44,339 | finetune_omp.py | line 87] - INFO: loss: 1.5501589772260584
[2023-12-01 16:37:48,768 | finetune_omp.py | line 87] - INFO: loss: 1.5376758000969348
[2023-12-01 16:37:54,351 | finetune_omp.py | line 87] - INFO: loss: 1.5220726214962088
[2023-12-01 16:37:59,587 | finetune_omp.py | line 87] - INFO: loss: 1.5093201077330656
[2023-12-01 16:38:04,051 | finetune_omp.py | line 87] - INFO: loss: 1.4971434224649254
[2023-12-01 16:38:08,605 | finetune_omp.py | line 87] - INFO: loss: 1.48783762313397
[2023-12-01 16:38:11,816 | finetune_omp.py | line 87] - INFO: loss: 1.484365969786345
[2023-12-01 16:38:18,082 | finetune_omp.py | line 87] - INFO: loss: 1.473584819943031
[2023-12-01 16:38:23,550 | finetune_omp.py | line 87] - INFO: loss: 1.4673756371249038
[2023-12-01 16:38:26,695 | finetune_omp.py | line 87] - INFO: loss: 1.4650962515130788
[2023-12-01 16:38:30,429 | finetune_omp.py | line 87] - INFO: loss: 1.4623220124045369
[2023-12-01 16:38:38,371 | finetune_omp.py | line 87] - INFO: loss: 1.4542375006408335
[2023-12-01 16:38:42,284 | finetune_omp.py | line 87] - INFO: loss: 1.4505915279835013
[2023-12-01 16:38:47,283 | finetune_omp.py | line 87] - INFO: loss: 1.4451319549090702
[2023-12-01 16:38:51,411 | finetune_omp.py | line 87] - INFO: loss: 1.4455338125554924
[2023-12-01 16:38:59,043 | finetune_omp.py | line 87] - INFO: loss: 1.4412759227105456
[2023-12-01 16:39:02,762 | finetune_omp.py | line 87] - INFO: loss: 1.4371240190418584
[2023-12-01 16:39:07,042 | finetune_omp.py | line 87] - INFO: loss: 1.4333265445676688
[2023-12-01 16:39:11,711 | finetune_omp.py | line 87] - INFO: loss: 1.4247010274006582
[2023-12-01 16:39:17,582 | finetune_omp.py | line 87] - INFO: loss: 1.4198088060293412
[2023-12-01 16:39:22,669 | finetune_omp.py | line 87] - INFO: loss: 1.4203630320347138
