[2023-12-02 12:32:20,616 | finetune_omp.py | line 137] - INFO: loss: 65.26581902937455
[2023-12-02 12:32:37,853 | finetune_omp.py | line 137] - INFO: loss: 37.881171181088405
[2023-12-02 12:32:55,102 | finetune_omp.py | line 137] - INFO: loss: 26.14485957737892
[2023-12-02 12:33:12,422 | finetune_omp.py | line 137] - INFO: loss: 20.030830853595965
[2023-12-02 12:33:29,782 | finetune_omp.py | line 137] - INFO: loss: 16.283911328981905
[2023-12-02 12:33:47,192 | finetune_omp.py | line 137] - INFO: loss: 13.73802893352313
[2023-12-02 12:34:04,641 | finetune_omp.py | line 137] - INFO: loss: 11.88899195676958
[2023-12-02 12:34:22,111 | finetune_omp.py | line 137] - INFO: loss: 10.461982363719999
[2023-12-02 12:34:39,623 | finetune_omp.py | line 137] - INFO: loss: 9.355339050784217
[2023-12-02 12:34:57,124 | finetune_omp.py | line 137] - INFO: loss: 8.455514500636866
[2023-12-02 12:35:14,666 | finetune_omp.py | line 137] - INFO: loss: 7.75409580176478
[2023-12-02 12:35:32,249 | finetune_omp.py | line 137] - INFO: loss: 7.1587421570188745
[2023-12-02 12:35:49,820 | finetune_omp.py | line 137] - INFO: loss: 6.640899368483602
[2023-12-02 12:36:07,403 | finetune_omp.py | line 137] - INFO: loss: 6.189482748138566
[2023-12-02 12:36:25,000 | finetune_omp.py | line 137] - INFO: loss: 5.806193239049406
[2023-12-02 12:36:42,643 | finetune_omp.py | line 137] - INFO: loss: 5.478746467495557
[2023-12-02 12:37:00,354 | finetune_omp.py | line 137] - INFO: loss: 5.178406197773783
[2023-12-02 12:37:17,983 | finetune_omp.py | line 137] - INFO: loss: 4.928352001087112
[2023-12-02 12:37:35,783 | finetune_omp.py | line 137] - INFO: loss: 4.700783493007041
[2023-12-02 12:37:53,395 | finetune_omp.py | line 137] - INFO: loss: 4.483859317664483
[2023-12-02 12:38:10,990 | finetune_omp.py | line 137] - INFO: loss: 4.2836229364736385
[2023-12-02 12:38:28,705 | finetune_omp.py | line 137] - INFO: loss: 4.1058413260595295
[2023-12-02 12:38:46,361 | finetune_omp.py | line 137] - INFO: loss: 3.9411337232434906
[2023-12-02 12:39:04,058 | finetune_omp.py | line 137] - INFO: loss: 3.791327637322711
[2023-12-02 12:39:21,883 | finetune_omp.py | line 137] - INFO: loss: 3.651396998534521
[2023-12-02 12:39:39,577 | finetune_omp.py | line 137] - INFO: loss: 3.5249707693255496
[2023-12-02 12:39:57,201 | finetune_omp.py | line 137] - INFO: loss: 3.415567220700733
[2023-12-02 12:40:15,305 | finetune_omp.py | line 137] - INFO: loss: 3.3108423553354163
[2023-12-02 12:40:32,988 | finetune_omp.py | line 137] - INFO: loss: 3.2089709436130485
[2023-12-02 12:40:50,955 | finetune_omp.py | line 137] - INFO: loss: 3.121972838200109
[2023-12-02 12:41:08,745 | finetune_omp.py | line 137] - INFO: loss: 3.0362368659790113
[2023-12-02 12:41:26,393 | finetune_omp.py | line 137] - INFO: loss: 2.9578811706296193
[2023-12-02 12:41:44,707 | finetune_omp.py | line 137] - INFO: loss: 2.8761426206239222
[2023-12-02 12:42:02,346 | finetune_omp.py | line 137] - INFO: loss: 2.8032137531666987
[2023-12-02 12:42:20,201 | finetune_omp.py | line 137] - INFO: loss: 2.7313099078664242
[2023-12-02 12:42:38,069 | finetune_omp.py | line 137] - INFO: loss: 2.661716549938488
[2023-12-02 12:42:55,704 | finetune_omp.py | line 137] - INFO: loss: 2.597500166100151
[2023-12-02 12:43:13,772 | finetune_omp.py | line 137] - INFO: loss: 2.5340582230996116
[2023-12-02 12:43:31,499 | finetune_omp.py | line 137] - INFO: loss: 2.4795948304045385
[2023-12-02 12:43:49,285 | finetune_omp.py | line 137] - INFO: loss: 2.4249304666873672
[2023-12-02 12:44:06,926 | finetune_omp.py | line 137] - INFO: loss: 2.3746080299943615
[2023-12-02 12:44:24,753 | finetune_omp.py | line 137] - INFO: loss: 2.3253565237740155
[2023-12-02 12:44:42,571 | finetune_omp.py | line 137] - INFO: loss: 2.2789282879496118
